City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Maragogi,BR,83.84,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
465,Laem Sing,TH,84.15,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
468,Sao Felix Do Xingu,BR,89.08,clear sky,-6.6447,-51.995,Rio Xingu Camping
473,San Cristobal,VE,84.38,overcast clouds,7.7669,-72.225,Pirineos
475,Richards Bay,ZA,79.54,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
485,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
490,Tambilil,PH,77.07,overcast clouds,5.9622,124.6697,Wilfredo Sotto Home
492,Quatre Cocos,MU,80.71,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
493,Cap Malheureux,MU,81.09,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
499,Tabatinga,BR,78.89,moderate rain,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
500,Barra,BR,89.69,scattered clouds,-11.0894,-43.1417,Motel Albatroz
508,Mirador,BR,86.31,overcast clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
510,Tefe,BR,86.11,scattered clouds,-3.3542,-64.7114,Aracati Hotel
