City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Horsham,GB,51.064,-0.3272,50.02,71,40,8.05,scattered clouds
325,Whyalla,AU,-33.0333,137.5833,60.69,72,0,11.5,clear sky
326,Cururupu,BR,-1.8283,-44.8683,83.35,70,88,6.49,overcast clouds
327,Bereda,ES,43.2686,-7.5406,51.01,86,49,3.29,scattered clouds
328,Hamilton,US,39.1834,-84.5333,31.62,93,100,1.99,light snow
329,Ikongo,MG,-21.8833,47.4333,70.92,98,100,2.39,light rain
330,Xining,CN,36.6167,101.7667,14.72,52,0,2.66,clear sky
331,Chilca,PE,-12.5211,-76.7372,80.08,76,71,7.83,broken clouds
332,Puerto Escondido,MX,15.85,-97.0667,83.98,54,1,9.28,clear sky
333,Vestmannaeyjar,IS,63.4427,-20.2734,25.79,80,0,17.27,clear sky
334,Haines Junction,CA,60.7522,-137.5108,-7.65,71,100,0.0,overcast clouds
335,Miri,MY,4.4148,114.0089,77.14,100,40,2.3,scattered clouds
336,Omboue,GA,-1.5746,9.2618,77.32,83,93,4.63,overcast clouds
337,Oranjestad,AW,12.524,-70.027,85.95,66,40,20.71,scattered clouds
338,Mapiripan,CO,2.8892,-72.1256,89.76,40,100,8.59,overcast clouds
339,Teguise,ES,29.0605,-13.564,66.42,49,29,11.5,scattered clouds
340,Kupang,ID,-10.1667,123.5833,77.92,88,100,10.4,overcast clouds
341,Kruisfontein,ZA,-34.0033,24.7314,65.88,75,75,15.59,broken clouds
342,Sao Sebastiao,BR,-23.76,-45.4097,79.09,84,97,7.74,overcast clouds
343,Takoradi,GH,4.8845,-1.7554,80.85,78,3,11.59,clear sky
344,Shitanjing,CN,39.2342,106.3439,13.69,36,8,3.91,clear sky
